,State,Country,Lat,Long,Date,Confirmed,Death,Recovered
41,Nova Scotia,Canada,44.682,-63.7443,2020-01-22,0.0,0.0,
42,Ontario,Canada,51.2538,-85.3232,2020-01-22,0.0,0.0,
43,Prince Edward Island,Canada,46.5107,-63.4168,2020-01-22,0.0,0.0,
44,Quebec,Canada,52.9399,-73.5491,2020-01-22,0.0,0.0,
45,Saskatchewan,Canada,52.9399,-106.4509,2020-01-22,0.0,0.0,
46,Bangui,Central African Republic,6.6111,20.9394,2020-01-22,0.0,0.0,0.0
47,N'Djamena,Chad,15.4542,18.7322,2020-01-22,0.0,0.0,0.0
48,Santiago,Chile,-35.6751,-71.543,2020-01-22,0.0,0.0,0.0
49,Anhui,China,31.8257,117.2264,2020-01-22,1.0,0.0,0.0
50,Beijing,China,40.1824,116.4142,2020-01-22,14.0,0.0,0.0
51,Chongqing,China,30.0572,107.874,2020-01-22,6.0,0.0,0.0
52,Fujian,China,26.0789,117.9874,2020-01-22,1.0,0.0,0.0
53,Gansu,China,37.8099,101.0583,2020-01-22,0.0,0.0,0.0
54,Guangdong,China,23.3417,113.4244,2020-01-22,26.0,0.0,0.0
55,Guangxi,China,23.8298,108.7881,2020-01-22,2.0,0.0,0.0
56,Guizhou,China,26.8154,106.8748,2020-01-22,1.0,0.0,0.0
57,Hainan,China,19.1959,109.7453,2020-01-22,4.0,0.0,0.0
58,Hebei,China,39.549,116.1306,2020-01-22,1.0,0.0,0.0
59,Heilongjiang,China,47.862,127.7615,2020-01-22,0.0,0.0,0.0
60,Henan,China,33.882,113.614,2020-01-22,5.0,0.0,0.0
61,Hong Kong,China,22.3,114.2,2020-01-22,0.0,0.0,0.0
62,Hubei,China,30.9756,112.2707,2020-01-22,444.0,17.0,28.0
63,Hunan,China,27.6104,111.7088,2020-01-22,4.0,0.0,0.0
64,Inner Mongolia,China,44.0935,113.9448,2020-01-22,0.0,0.0,0.0
65,Jiangsu,China,32.9711,119.455,2020-01-22,1.0,0.0,0.0
66,Jiangxi,China,27.614,115.7221,2020-01-22,2.0,0.0,0.0
67,Jilin,China,43.6661,126.1923,2020-01-22,0.0,0.0,0.0
68,Liaoning,China,41.2956,122.6085,2020-01-22,2.0,0.0,0.0
69,Macau,China,22.1667,113.55,2020-01-22,1.0,0.0,0.0
70,Ningxia,China,37.2692,106.1655,2020-01-22,1.0,0.0,0.0
71,Qinghai,China,35.7452,95.9956,2020-01-22,0.0,0.0,0.0
72,Shaanxi,China,35.1917,108.8701,2020-01-22,0.0,0.0,0.0
73,Shandong,China,36.3427,118.1498,2020-01-22,2.0,0.0,0.0
74,Shanghai,China,31.202,121.4491,2020-01-22,9.0,0.0,0.0
75,Shanxi,China,37.5777,112.2922,2020-01-22,1.0,0.0,0.0
76,Sichuan,China,30.6171,102.7103,2020-01-22,5.0,0.0,0.0
77,Tianjin,China,39.3054,117.323,2020-01-22,4.0,0.0,0.0
78,Tibet,China,31.6927,88.0924,2020-01-22,0.0,0.0,0.0
79,Xinjiang,China,41.1129,85.2401,2020-01-22,0.0,0.0,0.0
80,Yunnan,China,24.974,101.487,2020-01-22,1.0,0.0,0.0
81,Zhejiang,China,29.1832,120.0934,2020-01-22,10.0,0.0,0.0
82,Bogotá,Colombia,4.5709,-74.2973,2020-01-22,0.0,0.0,0.0
83,TBF,Congo (Brazzaville),-4.0383,21.7587,2020-01-22,0.0,0.0,0.0
84,TBF,Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0.0,0.0,0.0
85,San José,Costa Rica,9.7489,-83.7534,2020-01-22,0.0,0.0,0.0
86,TBF,Cote d'Ivoire,7.54,-5.5471,2020-01-22,0.0,0.0,0.0
87,Zagreb,Croatia,45.1,15.2,2020-01-22,0.0,0.0,0.0
88,TBF,Diamond Princess,0.0,0.0,2020-01-22,0.0,0.0,0.0
89,Havana,Cuba,22.0,-80.0,2020-01-22,0.0,0.0,0.0
90,Nicosia,Cyprus,35.1264,33.4299,2020-01-22,0.0,0.0,0.0
91,TBF,Czechia,49.8175,15.473,2020-01-22,0.0,0.0,0.0
92,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-22,0.0,0.0,0.0
93,Greenland,Denmark,71.7069,-42.6043,2020-01-22,0.0,0.0,0.0
94,Copenhagen,Denmark,56.2639,9.5018,2020-01-22,0.0,0.0,0.0
95,Djibouti,Djibouti,11.8251,42.5903,2020-01-22,0.0,0.0,0.0
96,Santo Domingo,Dominican Republic,18.7357,-70.1627,2020-01-22,0.0,0.0,0.0
97,Quito,Ecuador,-1.8312,-78.1834,2020-01-22,0.0,0.0,0.0
98,Cairo,Egypt,26.0,30.0,2020-01-22,0.0,0.0,0.0
99,San Salvador,El Salvador,13.7942,-88.8965,2020-01-22,0.0,0.0,0.0
100,Malabo,Equatorial Guinea,1.5,10.0,2020-01-22,0.0,0.0,0.0
101,Asmara,Eritrea,15.1794,39.7823,2020-01-22,0.0,0.0,0.0
102,Tallinn,Estonia,58.5953,25.0136,2020-01-22,0.0,0.0,0.0
103,TBF,Eswatini,-26.5225,31.4659,2020-01-22,0.0,0.0,0.0
104,Addis Ababa,Ethiopia,9.145,40.4897,2020-01-22,0.0,0.0,0.0
105,Suva,Fiji,-17.7134,178.065,2020-01-22,0.0,0.0,0.0
106,Helsinki,Finland,64.0,26.0,2020-01-22,0.0,0.0,0.0
107,French Guiana,France,3.9339,-53.1258,2020-01-22,0.0,0.0,0.0
108,French Polynesia,France,-17.6797,149.4068,2020-01-22,0.0,0.0,0.0
109,Guadeloupe,France,16.25,-61.5833,2020-01-22,0.0,0.0,0.0
110,Mayotte,France,-12.8275,45.1662,2020-01-22,0.0,0.0,0.0
111,New Caledonia,France,-20.9043,165.618,2020-01-22,0.0,0.0,0.0
112,Reunion,France,-21.1351,55.2471,2020-01-22,0.0,0.0,0.0
113,Saint Barthelemy,France,17.9,-62.8333,2020-01-22,0.0,0.0,0.0
114,St Martin,France,18.0708,-63.0501,2020-01-22,0.0,0.0,0.0
115,Martinique,France,14.6415,-61.0242,2020-01-22,0.0,0.0,0.0
116,Paris,France,46.2276,2.2137,2020-01-22,0.0,0.0,0.0
117,Libreville,Gabon,-0.8037,11.6094,2020-01-22,0.0,0.0,0.0
118,Banjul,Gambia,13.4432,-15.3101,2020-01-22,0.0,0.0,0.0
119,Tbilisi,Georgia,42.3154,43.3569,2020-01-22,0.0,0.0,0.0
120,Berlin,Germany,51.0,9.0,2020-01-22,0.0,0.0,0.0
121,Accra,Ghana,7.9465,-1.0232,2020-01-22,0.0,0.0,0.0
122,Athens,Greece,39.0742,21.8243,2020-01-22,0.0,0.0,0.0
123,Guatemala City,Guatemala,15.7835,-90.2308,2020-01-22,0.0,0.0,0.0
124,Conakry,Guinea,9.9456,-9.6966,2020-01-22,0.0,0.0,0.0
125,Georgetown,Guyana,5.0,-58.75,2020-01-22,0.0,0.0,0.0
126,Port-au-Prince,Haiti,18.9712,-72.2852,2020-01-22,0.0,0.0,0.0
127,TBF,Holy See,41.9029,12.4534,2020-01-22,0.0,0.0,0.0
128,Tegucigalpa,Honduras,15.2,-86.2419,2020-01-22,0.0,0.0,0.0
129,Budapest,Hungary,47.1625,19.5033,2020-01-22,0.0,0.0,0.0
130,Reykjavík,Iceland,64.9631,-19.0208,2020-01-22,0.0,0.0,0.0
131,New Delhi,India,21.0,78.0,2020-01-22,0.0,0.0,0.0
132,Jakarta,Indonesia,-0.7893,113.9213,2020-01-22,0.0,0.0,0.0
133,Tehran,Iran,32.0,53.0,2020-01-22,0.0,0.0,0.0
134,Baghdad,Iraq,33.0,44.0,2020-01-22,0.0,0.0,0.0
135,Dublin,Ireland,53.1424,-7.6921,2020-01-22,0.0,0.0,0.0
136,Jerusalem,Israel,31.0,35.0,2020-01-22,0.0,0.0,0.0
137,Rome,Italy,43.0,12.0,2020-01-22,0.0,0.0,0.0
138,Kingston,Jamaica,18.1096,-77.2975,2020-01-22,0.0,0.0,0.0
139,Tokyo,Japan,36.0,138.0,2020-01-22,2.0,0.0,0.0
140,Amman,Jordan,31.24,36.51,2020-01-22,0.0,0.0,0.0
141,Astana,Kazakhstan,48.0196,66.9237,2020-01-22,0.0,0.0,0.0
142,Nairobi,Kenya,-0.0236,37.9062,2020-01-22,0.0,0.0,0.0
143,TBF,"Korea, South",36.0,128.0,2020-01-22,1.0,0.0,0.0
144,Kuwait City,Kuwait,29.5,47.75,2020-01-22,0.0,0.0,0.0
145,Bishkek,Kyrgyzstan,41.2044,74.7661,2020-01-22,0.0,0.0,0.0
146,Riga,Latvia,56.8796,24.6032,2020-01-22,0.0,0.0,0.0
147,Beirut,Lebanon,33.8547,35.8623,2020-01-22,0.0,0.0,0.0
148,Monrovia,Liberia,6.4281,-9.4295,2020-01-22,0.0,0.0,0.0
149,Vaduz,Liechtenstein,47.14,9.55,2020-01-22,0.0,0.0,0.0
150,Vilnius,Lithuania,55.1694,23.8813,2020-01-22,0.0,0.0,0.0
151,Luxembourg,Luxembourg,49.8153,6.1296,2020-01-22,0.0,0.0,0.0
152,Antananarivo,Madagascar,-18.7669,46.8691,2020-01-22,0.0,0.0,0.0
153,Kuala Lumpur,Malaysia,2.5,112.5,2020-01-22,0.0,0.0,0.0
154,Malé,Maldives,3.2028,73.2207,2020-01-22,0.0,0.0,0.0
155,Valletta,Malta,35.9375,14.3754,2020-01-22,0.0,0.0,0.0
156,Nouakchott,Mauritania,21.0079,10.9408,2020-01-22,0.0,0.0,0.0
157,Port Louis,Mauritius,-20.2,57.5,2020-01-22,0.0,0.0,0.0
158,Mexico City,Mexico,23.6345,-102.5528,2020-01-22,0.0,0.0,0.0
159,Chisinau,Moldova,47.4116,28.3699,2020-01-22,0.0,0.0,0.0
160,Monaco,Monaco,43.7333,7.4167,2020-01-22,0.0,0.0,0.0
161,Ulaanbaatar,Mongolia,46.8625,103.8467,2020-01-22,0.0,0.0,0.0
162,Podgorica,Montenegro,42.5,19.3,2020-01-22,0.0,0.0,0.0
163,Rabat,Morocco,31.7917,-7.0926,2020-01-22,0.0,0.0,0.0
164,Windhoek,Namibia,-22.9576,18.4904,2020-01-22,0.0,0.0,0.0
165,Kathmandu,Nepal,28.1667,84.25,2020-01-22,0.0,0.0,0.0
166,Aruba,Netherlands,12.5186,-70.0358,2020-01-22,0.0,0.0,0.0
167,Curacao,Netherlands,12.1696,-68.99,2020-01-22,0.0,0.0,0.0
168,Sint Maarten,Netherlands,18.0425,-63.0548,2020-01-22,0.0,0.0,0.0
169,Amsterdam,Netherlands,52.1326,5.2913,2020-01-22,0.0,0.0,0.0
170,Wellington,New Zealand,-40.9006,174.886,2020-01-22,0.0,0.0,0.0
171,Managua,Nicaragua,12.8654,-85.2072,2020-01-22,0.0,0.0,0.0
172,Niamey,Niger,17.6078,8.0817,2020-01-22,0.0,0.0,0.0
173,Abuja,Nigeria,9.082,8.6753,2020-01-22,0.0,0.0,0.0
174,TBF,North Macedonia,41.6086,21.7453,2020-01-22,0.0,0.0,0.0
175,Oslo,Norway,60.472,8.4689,2020-01-22,0.0,0.0,0.0
176,Muscat,Oman,21.0,57.0,2020-01-22,0.0,0.0,0.0
177,Islamabad,Pakistan,30.3753,69.3451,2020-01-22,0.0,0.0,0.0
178,Panama City,Panama,8.538,-80.7821,2020-01-22,0.0,0.0,0.0
179,Port Moresby,Papua New Guinea,-6.315,143.9555,2020-01-22,0.0,0.0,0.0
180,Asunción,Paraguay,-23.4425,-58.4438,2020-01-22,0.0,0.0,0.0
181,Lima,Peru,-9.19,-75.0152,2020-01-22,0.0,0.0,0.0
182,Manila,Philippines,13.0,122.0,2020-01-22,0.0,0.0,0.0
183,Warsaw,Poland,51.9194,19.1451,2020-01-22,0.0,0.0,0.0
184,Lisbon,Portugal,39.3999,-8.2245,2020-01-22,0.0,0.0,0.0
185,Doha,Qatar,25.3548,51.1839,2020-01-22,0.0,0.0,0.0
186,Bucharest,Romania,45.9432,24.9668,2020-01-22,0.0,0.0,0.0
187,Moscow,Russia,60.0,90.0,2020-01-22,0.0,0.0,0.0
188,Kigali,Rwanda,-1.9403,29.8739,2020-01-22,0.0,0.0,0.0
189,Castries,Saint Lucia,13.9094,-60.9789,2020-01-22,0.0,0.0,0.0
190,Kingstown,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-22,0.0,0.0,0.0
191,San Marino,San Marino,43.9424,12.4578,2020-01-22,0.0,0.0,0.0
192,Riyadh,Saudi Arabia,24.0,45.0,2020-01-22,0.0,0.0,0.0
193,Dakar,Senegal,14.4974,-14.4524,2020-01-22,0.0,0.0,0.0
194,Belgrade,Serbia,44.0165,21.0059,2020-01-22,0.0,0.0,0.0
195,Victoria,Seychelles,-4.6796,55.492,2020-01-22,0.0,0.0,0.0
196,Singapore,Singapore,1.2833,103.8333,2020-01-22,0.0,0.0,0.0
197,Bratislava,Slovakia,48.669,19.699,2020-01-22,0.0,0.0,0.0
198,Ljubljana,Slovenia,46.1512,14.9955,2020-01-22,0.0,0.0,0.0
199,Mogadishu,Somalia,5.1521,46.1996,2020-01-22,0.0,0.0,0.0
200,Pretoria,South Africa,-30.5595,22.9375,2020-01-22,0.0,0.0,0.0
201,Madrid,Spain,40.0,-4.0,2020-01-22,0.0,0.0,0.0
202,Sri Jayawardenapura Kotte,Sri Lanka,7.0,81.0,2020-01-22,0.0,0.0,0.0
203,Khartoum,Sudan,12.8628,30.2176,2020-01-22,0.0,0.0,0.0
204,Paramaribo,Suriname,3.9193,-56.0278,2020-01-22,0.0,0.0,0.0
205,Stockholm,Sweden,63.0,16.0,2020-01-22,0.0,0.0,0.0
206,Bern,Switzerland,46.8182,8.2275,2020-01-22,0.0,0.0,0.0
207,TBF,Taiwan*,23.7,121.0,2020-01-22,1.0,0.0,0.0
208,Dodoma,Tanzania,-6.369,34.8888,2020-01-22,0.0,0.0,0.0
209,Bangkok,Thailand,15.0,101.0,2020-01-22,2.0,0.0,0.0
210,Lomé,Togo,8.6195,0.8248,2020-01-22,0.0,0.0,0.0
211,Port of Spain,Trinidad and Tobago,10.6918,-61.2225,2020-01-22,0.0,0.0,0.0
212,Tunis,Tunisia,34.0,9.0,2020-01-22,0.0,0.0,0.0
213,Ankara,Turkey,38.9637,35.2433,2020-01-22,0.0,0.0,0.0
214,Kampala,Uganda,1.0,32.0,2020-01-22,0.0,0.0,0.0
215,Kiev,Ukraine,48.3794,31.1656,2020-01-22,0.0,0.0,0.0
216,Abu Dhabi,United Arab Emirates,24.0,54.0,2020-01-22,0.0,0.0,0.0
217,Bermuda,United Kingdom,32.3078,-64.7505,2020-01-22,0.0,0.0,0.0
218,Cayman Islands,United Kingdom,19.3133,-81.2546,2020-01-22,0.0,0.0,0.0
219,Channel Islands,United Kingdom,49.3723,-2.3644,2020-01-22,0.0,0.0,0.0
220,Gibraltar,United Kingdom,36.1408,-5.3536,2020-01-22,0.0,0.0,0.0
221,Isle of Man,United Kingdom,54.2361,-4.5481,2020-01-22,0.0,0.0,0.0
222,Montserrat,United Kingdom,16.7425,-62.1874,2020-01-22,0.0,0.0,0.0
223,London,United Kingdom,55.3781,-3.4360000000000004,2020-01-22,0.0,0.0,0.0
224,Montevideo,Uruguay,-32.5228,-55.7658,2020-01-22,0.0,0.0,0.0
225,TBF,US,37.0902,-95.7129,2020-01-22,1.0,0.0,0.0
226,Tashkent,Uzbekistan,41.3775,64.5853,2020-01-22,0.0,0.0,0.0
227,Caracas,Venezuela,6.4238,-66.5897,2020-01-22,0.0,0.0,0.0
228,Hanoi,Vietnam,16.0,108.0,2020-01-22,0.0,0.0,0.0
229,Lusaka,Zambia,-15.4167,28.2833,2020-01-22,0.0,0.0,0.0
230,Harare,Zimbabwe,-20.0,30.0,2020-01-22,0.0,0.0,0.0
231,Diamond Princess,Canada,0.0,0.0,2020-01-22,0.0,0.0,
232,Roseau,Dominica,15.415,-61.371,2020-01-22,0.0,0.0,0.0
233,St. George's,Grenada,12.1165,-61.679,2020-01-22,0.0,0.0,0.0
234,Maputo,Mozambique,-18.665695,35.529562,2020-01-22,0.0,0.0,
235,Damascus,Syria,34.802075,38.99681500000001,2020-01-22,0.0,0.0,
236,TBF,Timor-Leste,-8.874217,125.727539,2020-01-22,0.0,0.0,
237,Belmopan,Belize,13.1939,-59.5432,2020-01-22,0.0,0.0,0.0
238,Recovered,Canada,0.0,0.0,2020-01-22,0.0,0.0,
239,Vientiane,Laos,19.85627,102.495496,2020-01-22,0.0,0.0,0.0
240,Tripoli,Libya,26.3351,17.228331,2020-01-22,0.0,0.0,0.0
241,TBF,West Bank and Gaza,31.9522,35.2332,2020-01-22,0.0,0.0,0.0
242,Bissau,Guinea-Bissau,11.8037,-15.1804,2020-01-22,0.0,0.0,0.0
243,Bamako,Mali,17.570692,-3.996166000000001,2020-01-22,0.0,0.0,0.0
244,Basseterre,Saint Kitts and Nevis,17.357822,-62.782998,2020-01-22,0.0,0.0,0.0
245,Northwest Territories,Canada,64.8255,-124.8457,2020-01-22,0.0,0.0,
246,Yukon,Canada,64.2823,-135.0,2020-01-22,0.0,0.0,
247,Pristina,Kosovo,42.602636,20.902977,2020-01-22,0.0,0.0,0.0
248,Kabul,Afghanistan,33.0,65.0,2020-01-23,0.0,0.0,0.0
249,Tirana,Albania,41.1533,20.1683,2020-01-23,0.0,0.0,0.0
250,Algiers,Algeria,28.0339,1.6596,2020-01-23,0.0,0.0,0.0
251,Andorra la Vella,Andorra,42.5063,1.5218,2020-01-23,0.0,0.0,0.0
252,Luanda,Angola,-11.2027,17.8739,2020-01-23,0.0,0.0,0.0
253,St. John's,Antigua and Barbuda,17.0608,-61.7964,2020-01-23,0.0,0.0,0.0
254,Buenos Aires,Argentina,-38.4161,-63.6167,2020-01-23,0.0,0.0,0.0
255,Yerevan,Armenia,40.0691,45.0382,2020-01-23,0.0,0.0,0.0
256,Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-23,0.0,0.0,0.0
257,New South Wales,Australia,-33.8688,151.2093,2020-01-23,0.0,0.0,0.0
258,Northern Territory,Australia,-12.4634,130.8456,2020-01-23,0.0,0.0,0.0
259,Queensland,Australia,-28.0167,153.4,2020-01-23,0.0,0.0,0.0
260,South Australia,Australia,-34.9285,138.6007,2020-01-23,0.0,0.0,0.0
261,Tasmania,Australia,-41.4545,145.9707,2020-01-23,0.0,0.0,0.0
262,Victoria,Australia,-37.8136,144.9631,2020-01-23,0.0,0.0,0.0
263,Western Australia,Australia,-31.9505,115.8605,2020-01-23,0.0,0.0,0.0
264,Vienna,Austria,47.5162,14.5501,2020-01-23,0.0,0.0,0.0
265,Baku,Azerbaijan,40.1431,47.5769,2020-01-23,0.0,0.0,0.0
266,Nassau,Bahamas,25.0343,-77.3963,2020-01-23,0.0,0.0,0.0
267,Manama,Bahrain,26.0275,50.55,2020-01-23,0.0,0.0,0.0
268,Dhaka,Bangladesh,23.685,90.3563,2020-01-23,0.0,0.0,0.0
269,Bridgetown,Barbados,13.1939,-59.5432,2020-01-23,0.0,0.0,0.0
270,Minsk,Belarus,53.7098,27.9534,2020-01-23,0.0,0.0,0.0
271,Brussels,Belgium,50.8333,4.0,2020-01-23,0.0,0.0,0.0
272,Porto-Novo,Benin,9.3077,2.3158,2020-01-23,0.0,0.0,0.0
273,Thimphu,Bhutan,27.5142,90.4336,2020-01-23,0.0,0.0,0.0
274,TBF,Bolivia,-16.2902,-63.5887,2020-01-23,0.0,0.0,0.0
275,Sarajevo,Bosnia and Herzegovina,43.9159,17.6791,2020-01-23,0.0,0.0,0.0
276,Brasília,Brazil,-14.235,-51.9253,2020-01-23,0.0,0.0,0.0
277,Bandar Seri Begawan,Brunei,4.5353,114.7277,2020-01-23,0.0,0.0,0.0
278,Sofia,Bulgaria,42.7339,25.4858,2020-01-23,0.0,0.0,0.0
279,Ouagadougou,Burkina Faso,12.2383,-1.5616,2020-01-23,0.0,0.0,0.0
280,TBF,Cabo Verde,16.5388,-23.0418,2020-01-23,0.0,0.0,0.0
281,Phnom Penh,Cambodia,11.55,104.9167,2020-01-23,0.0,0.0,0.0
282,Yaoundé,Cameroon,3.848,11.5021,2020-01-23,0.0,0.0,0.0
283,Alberta,Canada,53.9333,-116.5765,2020-01-23,0.0,0.0,
284,British Columbia,Canada,49.2827,-123.1207,2020-01-23,0.0,0.0,
285,Grand Princess,Canada,37.6489,-122.6655,2020-01-23,0.0,0.0,
286,Manitoba,Canada,53.7609,-98.8139,2020-01-23,0.0,0.0,
287,New Brunswick,Canada,46.5653,-66.4619,2020-01-23,0.0,0.0,
288,Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-23,0.0,0.0,
289,Nova Scotia,Canada,44.682,-63.7443,2020-01-23,0.0,0.0,
290,Ontario,Canada,51.2538,-85.3232,2020-01-23,0.0,0.0,
291,Prince Edward Island,Canada,46.5107,-63.4168,2020-01-23,0.0,0.0,
292,Quebec,Canada,52.9399,-73.5491,2020-01-23,0.0,0.0,
293,Saskatchewan,Canada,52.9399,-106.4509,2020-01-23,0.0,0.0,
294,Bangui,Central African Republic,6.6111,20.9394,2020-01-23,0.0,0.0,0.0
295,N'Djamena,Chad,15.4542,18.7322,2020-01-23,0.0,0.0,0.0
296,Santiago,Chile,-35.6751,-71.543,2020-01-23,0.0,0.0,0.0
297,Anhui,China,31.8257,117.2264,2020-01-23,9.0,0.0,0.0
298,Beijing,China,40.1824,116.4142,2020-01-23,22.0,0.0,0.0
299,Chongqing,China,30.0572,107.874,2020-01-23,9.0,0.0,0.0
300,Fujian,China,26.0789,117.9874,2020-01-23,5.0,0.0,0.0
301,Gansu,China,37.8099,101.0583,2020-01-23,2.0,0.0,0.0
302,Guangdong,China,23.3417,113.4244,2020-01-23,32.0,0.0,2.0
303,Guangxi,China,23.8298,108.7881,2020-01-23,5.0,0.0,0.0
304,Guizhou,China,26.8154,106.8748,2020-01-23,3.0,0.0,0.0
305,Hainan,China,19.1959,109.7453,2020-01-23,5.0,0.0,0.0
306,Hebei,China,39.549,116.1306,2020-01-23,1.0,1.0,0.0
307,Heilongjiang,China,47.862,127.7615,2020-01-23,2.0,0.0,0.0
308,Henan,China,33.882,113.614,2020-01-23,5.0,0.0,0.0
309,Hong Kong,China,22.3,114.2,2020-01-23,2.0,0.0,0.0
310,Hubei,China,30.9756,112.2707,2020-01-23,444.0,17.0,28.0
311,Hunan,China,27.6104,111.7088,2020-01-23,9.0,0.0,0.0
312,Inner Mongolia,China,44.0935,113.9448,2020-01-23,0.0,0.0,0.0
313,Jiangsu,China,32.9711,119.455,2020-01-23,5.0,0.0,0.0
314,Jiangxi,China,27.614,115.7221,2020-01-23,7.0,0.0,0.0
315,Jilin,China,43.6661,126.1923,2020-01-23,1.0,0.0,0.0
316,Liaoning,China,41.2956,122.6085,2020-01-23,3.0,0.0,0.0
317,Macau,China,22.1667,113.55,2020-01-23,2.0,0.0,0.0
318,Ningxia,China,37.2692,106.1655,2020-01-23,1.0,0.0,0.0
319,Qinghai,China,35.7452,95.9956,2020-01-23,0.0,0.0,0.0
320,Shaanxi,China,35.1917,108.8701,2020-01-23,3.0,0.0,0.0
321,Shandong,China,36.3427,118.1498,2020-01-23,6.0,0.0,0.0
322,Shanghai,China,31.202,121.4491,2020-01-23,16.0,0.0,0.0
323,Shanxi,China,37.5777,112.2922,2020-01-23,1.0,0.0,0.0
324,Sichuan,China,30.6171,102.7103,2020-01-23,8.0,0.0,0.0
325,Tianjin,China,39.3054,117.323,2020-01-23,4.0,0.0,0.0
326,Tibet,China,31.6927,88.0924,2020-01-23,0.0,0.0,0.0
327,Xinjiang,China,41.1129,85.2401,2020-01-23,2.0,0.0,0.0
328,Yunnan,China,24.974,101.487,2020-01-23,2.0,0.0,0.0
329,Zhejiang,China,29.1832,120.0934,2020-01-23,27.0,0.0,0.0
330,Bogotá,Colombia,4.5709,-74.2973,2020-01-23,0.0,0.0,0.0
331,TBF,Congo (Brazzaville),-4.0383,21.7587,2020-01-23,0.0,0.0,0.0
332,TBF,Congo (Kinshasa),-4.0383,21.7587,2020-01-23,0.0,0.0,0.0
333,San José,Costa Rica,9.7489,-83.7534,2020-01-23,0.0,0.0,0.0
334,TBF,Cote d'Ivoire,7.54,-5.5471,2020-01-23,0.0,0.0,0.0
